Symbol,Company Name,avg_transcript_value,avg_dlyret,avg_dlyvol,avg_dlycap
AES,AES Corporation,14.9525,-0.00641425,12800519.9375,10618335.153125
NEM,Newmont,12.434999999999999,-0.00521596875,10570316.578125,52054895.93625
CVS,CVS Health,8.705,-0.004675,13780433.53125,70580198.19765624
SWK,Stanley Black & Decker,13.32,-0.004614890625,1637774.859375,14289262.01640625
BAX,Baxter International,15.772499999999999,-0.0039051093749999,4200275.71875,17180174.2890625
HAS,Hasbro,17.5675,-0.003713375,1536710.046875,9103796.92609375
BIIB,Biogen,11.4725,-0.003603484375,1504577.03125,24577110.19828125
NUE,Nucor,21.0775,-0.0034773125,2098248.46875,34028120.121875
AMT,American Tower,21.525,-0.003295671875,2411704.640625,96810389.45578124
CI,Cigna,13.8675,-0.0032541406249999,1976272.40625,88969793.8021875
IFF,International Flavors & Fragrances,19.89,-0.00312090625,1392919.71875,24027922.2584375
AMGN,Amgen,15.12,-0.0030623125,3160959.703125,159477286.118125
AMAT,Applied Materials,12.9675,-0.003022953125,6480808.296875,148401098.58484375
DHR,Danaher Corporation,8.435,-0.0028916875,2848720.75,177500907.909375
HUM,Humana,11.5375,-0.002782046875,2529819.375,32292702.973125
LMT,Lockheed Martin,12.514999999999999,-0.002690390625,1182865.25,129480675.98046876
WY,Weyerhaeuser,15.965,-0.002676015625,3419570.171875,22680976.48734375
MU,Micron Technology,7.57,-0.0026410624999999,20788355.1875,113018358.03578123
TMO,Thermo Fisher Scientific,8.3125,-0.002619328125,1714756.734375,210112472.91375
BBY,Best Buy,10.2025,-0.002588328125,3006973.921875,19596873.06328125
